"","interest_rate","income_ver","debt_to_income","credit_util","bankruptcy","term","issue","credit_checks"
"5582",20,"Verified",8.38,"0.032","no",60,2,2
"5583",13.59,"Not Verified",32.8,"0.680","no",36,3,3
"5584",9.93,"Not Verified",30.91,"0.166","no",60,2,2
"5585",9.93,"Not Verified",12.48,"0.486","no",36,1,0
"5586",7.96,"Verified",22.08,"0.250","no",36,3,0
"5587",21.45,"Verified",20.77,"0.727","no",36,2,1
"5588",24.85,"Verified",24.09,"0.294","yes",60,3,8
"5589",17.09,"Verified",56.92,"0.555","no",36,2,4
"5590",21.45,"Not Verified",22.42,"0.830","no",60,2,2
"5591",11.99,"Source Verified",19.18,"0.448","no",60,2,0
"5592",13.58,"Verified",33.34,"0.274","no",36,3,0
"5593",19.03,"Source Verified",27.05,"1.021","no",36,1,0
"5594",7.97,"Source Verified",9.88,"0.882","no",36,1,1
"5595",7.35,"Not Verified",21.07,"0.401","no",36,1,4
"5596",22.91,"Verified",36.2,"0.212","no",36,3,1
"5597",9.93,"Not Verified",12.55,"0.296","no",36,1,1
"5598",6.71,"Not Verified",37.42,"0.855","no",36,3,1
"5599",6.07,"Source Verified",13.84,"0.833","no",36,3,0
"5600",10.42,"Verified",23.15,"0.226","no",60,2,0
"5601",12.61,"Not Verified",32.41,"0.292","no",36,3,1
"5602",16.01,"Source Verified",28.02,"0.561","yes",60,3,4
"5603",6.07,"Not Verified",12.98,"0.144","no",36,2,6
"5604",6.08,"Not Verified",10.43,"0.305","no",36,1,0
"5605",15.05,"Source Verified",21.41,"0.279","no",60,1,1
"5606",7.96,"Not Verified",22.51,"0.801","no",36,3,1
"5607",15.04,"Not Verified",6.91,"0.065","no",60,3,4
"5608",6.08,"Source Verified",18.7,"0.327","no",36,1,0
"5609",14.08,"Verified",33.81,"0.715","yes",60,1,1
"5610",11.99,"Source Verified",22.37,"0.938","no",36,1,2
"5611",10.9,"Source Verified",16.47,"0.569","yes",36,3,0
"5612",13.58,"Source Verified",17.17,"0.644","no",36,3,6
"5613",10.91,"Source Verified",1.07,"0.092","no",36,2,1
"5614",9.93,"Source Verified",20.69,"0.368","yes",36,1,2
"5615",19.03,"Verified",35.5,"0.657","no",36,2,1
"5616",10.41,"Source Verified",10.89,"0.311","no",36,3,0
"5617",9.43,"Not Verified",10.06,"0.087","no",36,3,0
"5618",18.06,"Source Verified",30.67,"0.517","no",36,1,1
"5619",12.62,"Not Verified",19.92,"0.653","no",36,1,0
"5620",12.62,"Not Verified",15.59,"0.648","no",60,1,1
"5621",14.08,"Not Verified",13.14,"0.241","yes",36,1,8
"5622",6.71,"Not Verified",15.12,"0.325","no",36,3,0
"5623",14.08,"Not Verified",21.42,"0.577","no",60,1,12
"5624",11.99,"Source Verified",22.98,"0.622","no",36,3,0
"5625",21.45,"Verified",9.26,"0.764","yes",60,1,0
"5626",16.01,"Not Verified",27.11,"0.484","no",36,3,5
"5627",6.71,"Verified",2,"0.046","no",36,3,0
"5628",12.61,"Not Verified",18.36,"0.598","yes",36,3,0
"5629",13.58,"Not Verified",8.84,"0.054","no",60,2,1
"5630",7.35,"Not Verified",13.88,"0.111","no",60,3,2
"5631",17.47,"Source Verified",28.99,"0.751","no",36,3,0
"5632",21.45,"Verified",4.14,"0.655","no",36,1,3
"5633",11.98,"Not Verified",25.46,"0.268","no",36,3,1
"5634",15.05,"Verified",16.44,"0.520","no",36,1,1
"5635",11.98,"Source Verified",10.13,"0.127","no",36,3,0
"5636",6.72,"Source Verified",4.19,"0.040","no",36,1,0
"5637",15.05,"Source Verified",7.81,"0.084","no",60,2,2
"5638",20.39,"Verified",27.78,"0.185","no",60,2,2
"5639",16.02,"Source Verified",16.36,"0.760","no",36,1,0
"5640",5.32,"Verified",28.77,"0.106","no",36,2,0
"5641",7.35,"Source Verified",12.58,"0.209","no",60,2,2
"5642",10.42,"Verified",36.6,"0.645","no",36,1,1
"5643",16.02,"Source Verified",13.28,"0.727","no",36,3,1
"5644",6.07,"Source Verified",6.34,"0.597","no",36,2,0
"5645",19.03,"Verified",16.07,"0.761","no",36,1,3
"5646",6.71,"Not Verified",9.1,"0.662","no",36,3,4
"5647",6.72,"Not Verified",35.2,"0.389","no",36,2,0
"5648",18.45,"Source Verified",10.42,"0.083","no",36,3,0
"5649",16.02,"Verified",21.74,"0.162","no",60,1,1
"5650",9.44,"Not Verified",12.79,"0.263","yes",36,1,0
"5651",22.91,"Not Verified",30.9,"0.735","no",36,2,0
"5652",6.08,"Not Verified",9.15,"0.562","no",36,1,0
"5653",9.92,"Not Verified",16.5,"0.430","yes",36,2,5
"5654",12.62,"Verified",36.15,"0.314","no",36,1,1
"5655",12.62,"Not Verified",22,"0.150","yes",60,1,7
"5656",21.45,"Not Verified",18.09,"0.821","no",36,1,7
"5657",6.08,"Not Verified",16.02,"0.059","no",36,2,1
"5658",17.47,"Verified",34.98,"0.270","no",36,3,1
"5659",11.98,"Verified",18.22,"0.107","no",60,3,4
"5660",15.05,"Source Verified",9.9,"0.932","no",36,1,1
"5661",16.02,"Not Verified",12.99,"0.601","no",36,1,1
"5662",10.91,"Not Verified",23.59,"0.099","yes",36,2,1
"5663",7.97,"Source Verified",13.82,"0.424","no",36,1,0
"5664",14.07,"Source Verified",27.88,"0.754","no",36,3,1
"5665",24.85,"Source Verified",6.39,"0.017","no",60,2,4
"5666",13.58,"Verified",22.16,"0.136","yes",60,2,2
"5667",9.93,"Verified",10.49,"0.578","no",36,1,8
"5668",6.08,"Not Verified",24.5,"0.579","no",36,1,0
"5669",7.35,"Verified",11.4,"0.181","no",36,2,3
"5670",15.04,"Source Verified",2.7,"0.141","no",36,3,1
"5671",9.44,"Source Verified",5.39,"0.094","no",36,1,2
"5672",12.61,"Not Verified",26.6,"0.592","no",60,3,0
"5673",11.98,"Not Verified",25.36,"0.246","no",60,2,1
"5674",12.61,"Verified",22.88,"0.898","no",36,2,3
"5675",6.71,"Source Verified",8,"0.707","no",36,3,1
"5676",20.39,"Source Verified",14.08,"0.740","no",36,3,0
"5677",9.43,"Not Verified",15.77,"0.155","no",36,3,0
"5678",22.91,"Source Verified",12.35,"0.646","no",36,1,5
"5679",16.02,"Not Verified",21.09,"0.387","no",60,2,0
"5680",10.42,"Verified",27.76,"0.181","no",60,2,6
"5681",20.39,"Source Verified",10.31,"0.952","no",60,3,2
"5682",12.61,"Not Verified",14.3,"0.600","no",60,3,0
"5683",15.04,"Verified",21.55,"0.513","no",36,3,0
"5684",6.08,"Not Verified",18.89,"0.332","no",36,1,3
"5685",18.06,"Verified",191.7,"0.288","no",60,2,3
"5686",10.91,"Source Verified",19.05,"0.152","no",60,2,2
"5687",7.34,"Not Verified",23.21,"0.585","no",36,3,0
"5688",6.72,"Source Verified",17.19,"0.317","no",36,2,1
"5689",15.05,"Not Verified",37.07,"0.629","no",36,1,3
"5690",5.32,"Source Verified",2.68,"0.029","no",36,1,2
"5691",6.72,"Source Verified",8.4,"0.549","no",60,2,0
"5692",19.03,"Source Verified",23.84,"0.295","no",36,2,0
"5693",7.97,"Source Verified",35.38,"0.670","no",36,2,6
"5694",17.09,"Verified",39.51,"0.571","no",60,2,4
"5695",14.08,"Not Verified",10.72,"0.934","no",36,1,2
"5696",15.04,"Not Verified",17.71,"0.066","no",36,2,0
"5697",21.45,"Verified",42.65,"0.792","no",36,2,1
"5698",9.44,"Not Verified",5.95,"0.427","no",36,1,1
"5699",9.93,"Source Verified",48.19,"0.230","no",36,1,0
"5700",14.08,"Source Verified",17.95,"0.504","no",60,1,0
"5701",15.05,"Source Verified",174.49,"0.549","no",60,1,1
"5702",15.05,"Source Verified",16.37,"0.568","yes",36,2,3
"5703",9.44,"Source Verified",15.92,"0.401","no",36,1,1
"5704",5.31,"Source Verified",9.37,"0.159","no",36,3,1
"5705",10.42,"Source Verified",18.5,"1.204","no",36,1,5
"5706",6.72,"Not Verified",7.47,"0.108","no",36,1,5
"5707",17.09,"Not Verified",33.28,"0.535","no",60,1,2
"5708",14.07,"Not Verified",8.55,"0.509","no",60,2,2
"5709",13.59,"Verified",18.8,"0.310","no",60,2,1
"5710",15.04,"Source Verified",28.93,"0.875","no",36,3,22
"5711",11.98,"Not Verified",3.27,"0.156","no",60,3,0
"5712",9.92,"Source Verified",30.64,"0.482","yes",36,2,1
"5713",15.04,"Not Verified",14.14,"0.077","no",60,3,0
"5714",17.47,"Source Verified",29.27,"0.697","yes",36,3,3
"5715",6.07,"Not Verified",6.77,"0.242","no",36,3,0
"5716",11.99,"Not Verified",14.77,"0.701","no",36,2,0
"5717",14.07,"Verified",43.08,"0.126","no",36,3,0
"5718",6.08,"Verified",26.79,"0.113","no",36,1,2
"5719",13.58,"Source Verified",4.28,"0.306","no",36,2,1
"5720",5.32,"Source Verified",7.98,"0.532","no",36,2,3
"5721",15.04,"Source Verified",7.95,"0.097","no",60,2,1
"5722",10.42,"Source Verified",20.48,"0.837","no",60,1,0
"5723",7.35,"Source Verified",18.01,"0.297","yes",36,2,2
"5724",13.58,"Source Verified",32.08,"0.165","no",36,3,1
"5725",7.35,"Source Verified",24.91,"0.764","no",36,1,1
"5726",7.34,"Not Verified",37.24,"0.582","no",36,3,1
"5727",10.42,"Source Verified",9.38,"0.100","no",60,1,2
"5728",11.98,"Verified",7.99,"0.083","no",60,3,0
"5729",16.02,"Source Verified",34.08,"0.171","no",36,1,2
"5730",12.61,"Source Verified",9.07,"0.071","no",36,2,1
"5731",9.44,"Not Verified",15.02,"0.556","no",36,2,3
"5732",19.03,"Not Verified",4.55,"0.030","no",36,2,2
"5733",14.08,"Verified",24.36,"0.134","no",60,2,24
"5734",9.44,"Source Verified",22.59,"0.635","no",36,1,0
"5735",9.93,"Source Verified",11.33,"0.142","no",36,2,1
"5736",30.79,"Not Verified",25.3,"0.762","no",60,2,0
"5737",18.45,"Source Verified",19.55,"0.177","no",36,3,3
"5738",9.93,"Not Verified",9.36,"0.821","no",36,2,0
"5739",16.02,"Source Verified",11.57,"0.743","yes",60,1,1
"5740",9.44,"Not Verified",10.56,"0.707","yes",36,2,1
"5741",16.02,"Not Verified",34.49,"0.709","yes",36,1,0
"5742",14.07,"Source Verified",22.65,"0.682","yes",36,2,2
"5743",17.09,"Verified",3.47,"0.123","no",60,1,7
"5744",12.62,"Not Verified",35.95,"0.735","no",36,2,1
"5745",16.01,"Source Verified",21.44,"1.032","no",60,3,2
"5746",10.91,"Source Verified",18.56,"1.036","no",36,1,2
"5747",16.02,"Verified",29.97,"0.668","no",60,1,0
"5748",11.98,"Not Verified",20.04,"0.066","no",36,2,0
"5749",7.35,"Source Verified",1.5,"0.090","no",36,2,0
"5750",15.04,"Not Verified",15,"0.707","yes",36,2,1
"5751",13.58,"Verified",22.64,"0.292","yes",60,3,2
"5752",7.97,"Verified",29.17,"0.307","no",36,2,5
"5753",20.39,"Verified",94.29,"0.841","no",36,2,4
"5754",10.42,"Verified",35.16,"0.710","no",36,2,0
"5755",7.97,"Source Verified",21.98,"0.468","no",36,2,5
"5756",9.93,"Source Verified",14.94,"0.234","no",36,2,1
"5757",19.03,"Source Verified",14.05,"0.121","no",36,2,1
"5758",10.42,"Source Verified",3.6,"0.573","no",36,2,0
"5759",7.35,"Source Verified",23.72,"0.321","no",36,1,3
"5760",15.05,"Not Verified",2.98,"0.004","no",60,1,1
"5761",13.59,"Source Verified",2.1,"0.327","no",36,1,4
"5762",5.31,"Verified",4.66,"0.017","no",36,3,2
"5763",21.45,"Verified",13.54,"0.219","no",60,1,2
"5764",26.3,"Source Verified",32.71,"0.968","no",60,2,0
"5765",6.08,"Source Verified",12.44,"0.175","no",36,1,2
"5766",18.06,"Not Verified",18.23,"0.129","no",36,1,2
"5767",7.96,"Not Verified",15.07,"0.513","yes",36,3,0
"5768",20,"Not Verified",30.89,"0.712","no",36,1,1
"5769",12.61,"Source Verified",4.99,"0.159","no",36,3,1
"5770",6.08,"Not Verified",6.26,"0.252","no",36,2,1
"5771",13.58,"Not Verified",10.58,"0.364","yes",36,3,1
"5772",15.05,"Verified",30.35,"0.753","yes",36,2,0
"5773",5.31,"Not Verified",18.41,"0.089","no",36,3,0
"5774",7.35,"Source Verified",17.91,"0.114","no",36,1,4
"5775",7.34,"Source Verified",11.52,"0.436","no",36,3,6
"5776",7.97,"Not Verified",13.71,"0.475","no",36,2,6
"5777",19.03,"Verified",21.9,"0.750","no",36,2,2
"5778",16.02,"Verified",41.35,"0.235","yes",60,2,6
"5779",11.98,"Source Verified",21.33,"0.512","yes",36,3,2
"5780",6.08,"Verified",4.37,"0.015","yes",36,2,5
"5781",7.96,"Not Verified",28.42,"1.004","no",36,3,0
"5782",13.59,"Verified",13.37,"0.108","no",36,1,1
"5783",30.79,"Verified",27.78,"0.829","no",60,1,0
"5784",13.58,"Not Verified",28.67,"0.847","no",36,2,4
"5785",14.08,"Not Verified",30.9,"0.773","no",36,2,1
"5786",6.08,"Not Verified",27.35,"0.331","no",36,1,6
"5787",7.35,"Not Verified",23.24,"0.498","no",36,1,1
"5788",12.61,"Source Verified",24.93,"0.617","no",36,3,0
"5789",10.42,"Not Verified",12.26,"0.738","no",36,2,1
"5790",14.08,"Not Verified",30.68,"0.269","no",60,2,1
"5791",9.93,"Source Verified",15.23,"0.149","no",60,2,4
"5792",5.32,"Source Verified",13.56,"0.134","no",36,1,1
"5793",11.99,"Source Verified",6.93,"0.906","no",36,2,1
"5794",11.99,"Verified",21.76,"0.182","no",36,1,0
"5795",10.9,"Source Verified",1,"1.008","no",36,3,3
"5796",19.03,"Verified",20.91,"0.551","no",60,1,1
"5797",26.3,"Verified",28.44,"0.669","no",36,2,2
"5798",6.72,"Source Verified",13.68,"0.410","no",36,1,2
"5799",14.08,"Verified",15.98,"0.200","no",60,2,1
"5800",15.05,"Not Verified",16.36,"0.880","yes",36,1,1
"5801",16.02,"Source Verified",19.29,"0.118","no",60,1,1
"5802",9.93,"Verified",22.74,"0.182","no",36,2,3
"5803",16.02,"Verified",31.92,"0.952","no",36,2,2
"5804",10.42,"Source Verified",8.95,"0.338","no",36,2,1
"5805",15.05,"Source Verified",8.96,"0.844","no",36,1,0
"5806",7.97,"Not Verified",4.7,"0.086","yes",36,2,2
"5807",9.43,"Not Verified",19.65,"0.462","no",36,3,0
"5808",13.58,"Not Verified",8.97,"0.157","no",60,3,0
"5809",15.05,"Source Verified",38.93,"0.680","no",36,1,1
"5810",13.58,"Source Verified",25.83,"0.748","no",60,3,2
"5811",7.34,"Source Verified",25.29,"0.510","no",36,3,5
"5812",13.59,"Source Verified",24.53,"0.172","no",60,1,0
"5813",11.99,"Not Verified",23.81,"0.669","no",36,2,1
"5814",21.85,"Verified",17.35,"0.783","no",60,3,0
"5815",7.35,"Not Verified",9.65,"0.720","no",36,2,0
"5816",20,"Not Verified",31.91,"0.606","no",60,2,3
"5817",21.45,"Not Verified",19.29,"0.229","no",60,1,2
"5818",12.61,"Source Verified",16.67,"0.293","no",60,3,2
"5819",12.62,"Not Verified",19.97,"0.171","no",36,1,3
"5820",20.39,"Not Verified",25.55,"1.017","no",60,3,0
"5821",5.32,"Not Verified",22.52,"0.450","no",36,1,0
"5822",12.61,"Not Verified",32.35,"0.625","no",60,3,0
"5823",5.31,"Not Verified",9.99,"0.163","no",36,3,0
"5824",10.91,"Verified",21.12,"0.183","no",36,1,0
"5825",15.05,"Not Verified",40.5,"0.570","no",36,1,0
"5826",10.91,"Not Verified",7.19,"0.539","no",60,2,1
"5827",17.47,"Not Verified",16.13,"0.666","no",36,3,4
"5828",7.97,"Source Verified",9.06,"0.361","no",36,2,0
"5829",7.35,"Verified",10.34,"0.265","no",36,1,0
"5830",9.44,"Source Verified",32.52,"0.269","no",36,1,1
"5831",14.07,"Verified",12.29,"0.517","no",60,3,0
"5832",18.06,"Source Verified",38.68,"0.222","no",36,2,2
"5833",26.77,"Source Verified",36.53,"0.184","no",60,3,15
"5834",12.62,"Not Verified",15.5,"0.111","no",60,1,0
"5835",7.35,"Not Verified",21.26,"0.369","no",36,1,1
"5836",12.61,"Verified",31.53,"0.350","no",36,3,0
"5837",5.32,"Source Verified",5.71,"0.112","no",36,2,1
"5838",12.62,"Source Verified",1.79,"0.359","no",36,1,0
"5839",9.93,"Source Verified",13.73,"0.723","no",60,1,2
"5840",19.42,"Verified",12.82,"0.521","no",36,3,3
"5841",9.92,"Source Verified",22.42,"0.179","no",60,3,1
"5842",5.31,"Source Verified",27.74,"0.766","no",36,3,0
"5843",10.41,"Not Verified",28.19,"0.514","no",36,3,10
"5844",17.47,"Source Verified",14.82,"0.574","no",36,3,3
"5845",21.45,"Verified",25.3,"0.865","no",60,1,0
"5846",5.32,"Not Verified",3.52,"0.170","no",36,1,1
"5847",7.35,"Verified",15.46,"0.641","no",36,2,0
"5848",9.43,"Not Verified",19.73,"0.201","no",60,3,3
"5849",12.62,"Verified",14.24,"0.722","yes",36,1,3
"5850",10.41,"Source Verified",28.02,"0.644","yes",36,3,0
"5851",10.42,"Not Verified",27.83,"0.410","no",36,1,1
"5852",10.41,"Not Verified",12.51,"0.205","yes",60,2,0
"5853",16.01,"Verified",24.28,"0.183","no",60,2,6
"5854",13.59,"Source Verified",18.18,"0.097","yes",60,2,3
"5855",14.08,"Not Verified",11.65,"1.122","no",36,2,1
"5856",6.72,"Source Verified",0.74,"0.086","no",36,2,0
"5857",25.82,"Source Verified",22.96,"0.836","no",60,2,12
"5858",24.85,"Source Verified",23.6,"0.262","no",60,2,1
"5859",7.96,"Not Verified",10.9,"0.086","no",36,3,5
"5860",10.9,"Verified",1.77,"0.025","no",36,3,1
"5861",7.34,"Not Verified",8.37,"0.319","no",36,3,0
"5862",16.02,"Source Verified",22.64,"0.525","no",36,1,18
"5863",10.91,"Not Verified",22.08,"0.453","no",36,2,3
"5864",11.98,"Source Verified",18.38,"0.531","no",60,3,0
"5865",11.99,"Verified",16.82,"0.150","no",60,1,5
"5866",6.07,"Not Verified",27.28,"0.052","no",36,3,2
"5867",15.05,"Verified",69.44,"0.308","yes",60,1,0
"5868",21.45,"Verified",17.73,"0.419","no",60,1,2
"5869",6.08,"Source Verified",8.32,"0.074","no",36,2,4
"5870",12.61,"Not Verified",46.32,"0.857","no",36,3,0
"5871",10.42,"Not Verified",26.72,"0.405","no",60,1,1
"5872",6.72,"Not Verified",14.98,"0.123","no",36,2,1
"5873",14.08,"Source Verified",9.64,"0.807","yes",36,2,1
"5874",6.08,"Not Verified",10.77,"0.062","no",36,1,3
"5875",7.96,"Source Verified",28.4,"0.686","yes",36,3,0
"5876",16.02,"Source Verified",36.89,"0.516","no",36,2,5
"5877",19.03,"Not Verified",11.88,"0.767","no",36,1,1
"5878",7.34,"Source Verified",23.48,"0.670","no",36,3,4
"5879",7.97,"Not Verified",6.76,"0.109","no",36,1,3
"5880",17.09,"Not Verified",25.31,"0.287","no",60,2,1
"5881",9.93,"Verified",44.71,"0.489","no",60,1,2
"5882",11.98,"Not Verified",33.22,"0.415","no",60,2,1
"5883",9.44,"Source Verified",13.09,"0.466","no",60,2,1
"5884",11.98,"Source Verified",24.46,"1.061","no",36,3,3
"5885",9.93,"Verified",30.8,"0.678","no",36,1,0
"5886",12.62,"Verified",17.38,"0.517","yes",36,1,2
"5887",15.04,"Source Verified",19.22,"0.312","no",60,3,9
"5888",19.03,"Verified",11.61,"0.180","yes",60,2,3
"5889",19.03,"Not Verified",35.71,"0.042","no",60,1,1
"5890",11.98,"Verified",10.91,"0.373","no",36,3,2
"5891",10.41,"Not Verified",9.89,"0.295","no",36,2,4
"5892",7.34,"Not Verified",12.88,"0.089","no",60,3,4
"5893",17.09,"Source Verified",2.2,"0.359","no",60,2,4
"5894",5.31,"Not Verified",19.2,"0.462","no",36,3,1
"5895",6.07,"Not Verified",6.79,"0.039","yes",36,3,4
"5896",16.02,"Source Verified",13.73,"0.132","no",60,2,0
"5897",7.34,"Not Verified",24.15,"0.597","no",36,3,1
"5898",15.04,"Not Verified",15.76,"0.182","no",36,3,6
"5899",11.99,"Source Verified",10.66,"0.337","yes",60,1,5
"5900",11.99,"Source Verified",19.49,"0.771","no",36,1,0
"5901",26.3,"Verified",12.25,"0.141","yes",60,2,0
"5902",6.71,"Not Verified",14.46,"0.119","no",36,3,1
"5903",13.59,"Source Verified",18.86,"0.607","yes",36,2,1
"5904",20.39,"Source Verified",24.08,"0.434","no",60,3,2
"5905",5.31,"Source Verified",25.92,"0.427","no",36,3,0
"5906",6.72,"Not Verified",7.38,"0.448","no",36,1,0
"5907",19.03,"Source Verified",4.74,"0.687","no",60,1,3
"5908",12.61,"Source Verified",17.14,"0.176","no",60,3,0
"5909",16.02,"Verified",13.78,"0.089","no",36,2,4
"5910",17.09,"Source Verified",32.98,"0.588","no",36,1,2
"5911",20,"Verified",3.3,"0.613","no",60,2,2
"5912",12.62,"Verified",27.56,"0.728","no",60,2,4
"5913",15.05,"Not Verified",14.62,"0.471","no",60,2,0
"5914",6.71,"Source Verified",18.24,"0.390","yes",36,3,0
"5915",16.02,"Verified",19.17,"0.138","no",60,2,1
"5916",10.91,"Verified",6.18,"0.333","no",36,1,2
"5917",7.34,"Not Verified",4.94,"0.235","no",36,3,0
"5918",14.08,"Verified",5.7,"0.368","no",36,2,3
"5919",6.72,"Not Verified",34.56,"0.510","yes",36,1,0
"5920",15.05,"Source Verified",34.24,"0.722","no",60,2,0
"5921",7.35,"Source Verified",15.94,"0.468","no",36,2,0
"5922",7.97,"Source Verified",16.34,"0.287","no",36,1,4
"5923",9.43,"Source Verified",22.56,"0.005","no",36,2,1
"5924",10.9,"Source Verified",15.86,"0.183","no",36,3,2
"5925",6.72,"Not Verified",1.88,"0.022","no",36,1,0
"5926",9.93,"Verified",44.14,"0.664","no",60,2,0
"5927",7.34,"Not Verified",8.12,"0.089","no",36,3,0
"5928",14.08,"Source Verified",16.5,"0.150","yes",60,2,4
"5929",19.42,"Source Verified",12.58,"0.564","no",36,3,0
"5930",7.97,"Source Verified",7.37,"0.057","no",36,2,0
"5931",10.9,"Verified",7.78,"0.094","no",36,3,2
"5932",9.44,"Not Verified",11.15,"0.283","yes",36,1,0
"5933",10.91,"Verified",10.59,"0.090","yes",36,2,4
"5934",9.43,"Verified",35.73,"0.317","yes",36,3,8
"5935",19.42,"Verified",17.91,"0.649","no",36,3,0
"5936",24.85,"Source Verified",12.92,"0.423","no",60,1,0
"5937",12.61,"Not Verified",19.54,"0.674","no",36,2,1
"5938",13.58,"Not Verified",30.66,"0.733","no",36,3,0
"5939",21.45,"Source Verified",42.29,"0.713","yes",60,2,10
"5940",12.61,"Source Verified",37.43,"0.149","yes",36,3,2
"5941",13.59,"Source Verified",14.59,"0.205","no",60,1,4
"5942",21.45,"Not Verified",5.98,"0.150","no",36,2,1
"5943",16.02,"Source Verified",3.79,"0.211","no",36,1,3
"5944",15.04,"Source Verified",30.19,"0.619","no",36,2,2
"5945",10.9,"Source Verified",15.91,"0.482","no",36,2,0
"5946",13.59,"Not Verified",8.02,"0.757","no",36,2,1
"5947",12.62,"Verified",68.61,"0.341","no",36,1,2
"5948",7.97,"Source Verified",14.41,"0.177","no",36,2,0
"5949",12.62,"Source Verified",27.26,"0.202","no",36,3,0
"5950",17.09,"Verified",15.82,"0.152","no",60,1,1
"5951",20,"Source Verified",17.41,"0.466","no",60,1,1
"5952",19.42,"Verified",33.63,"0.677","no",60,2,0
"5953",9.44,"Not Verified",13.83,"0.450","yes",36,1,1
"5954",20.39,"Source Verified",0,"0.000","no",36,2,1
"5955",17.09,"Source Verified",23.3,"0.428","yes",60,1,1
"5956",10.9,"Not Verified",30.36,"0.741","no",36,3,6
"5957",16.01,"Verified",17.54,"0.543","no",36,3,1
"5958",17.09,"Source Verified",26.21,"0.748","no",60,1,3
"5959",9.93,"Not Verified",11.63,"0.772","no",60,3,3
"5960",9.43,"Source Verified",16.79,"0.672","no",36,3,0
"5961",6.72,"Not Verified",20,"0.094","no",36,1,2
"5962",17.09,"Not Verified",23.89,"0.386","no",36,2,4
"5963",15.05,"Source Verified",27.04,"0.232","no",60,2,5
"5964",10.9,"Source Verified",18.68,"0.241","no",60,3,2
"5965",9.93,"Source Verified",7.46,"0.436","no",60,1,3
"5966",12.61,"Not Verified",29.13,"0.773","no",60,3,0
"5967",9.93,"Verified",14.67,"0.505","no",36,2,0
"5968",15.05,"Source Verified",13.07,"0.593","no",36,1,1
"5969",6.72,"Source Verified",29.25,"0.460","no",36,2,0
"5970",9.44,"Not Verified",18.28,"0.175","no",36,1,1
"5971",25.81,"Verified",35.27,"0.164","no",60,3,0
"5972",10.42,"Not Verified",17.57,"0.264","no",60,1,1
"5973",13.59,"Not Verified",25.09,"0.154","no",36,1,3
"5974",6.72,"Not Verified",11.98,"0.315","no",36,1,0
"5975",10.9,"Verified",18.41,"0.296","no",60,3,4
"5976",9.93,"Source Verified",20.75,"0.082","no",36,2,0
"5977",7.96,"Source Verified",26.61,"0.184","no",36,3,6
"5978",13.59,"Not Verified",3.77,"0.729","no",36,2,0
"5979",10.41,"Not Verified",12.19,"0.431","no",60,3,1
"5980",9.93,"Source Verified",4.23,"0.132","no",36,2,4
"5981",7.97,"Source Verified",20.7,"0.666","no",60,1,0
"5982",10.91,"Not Verified",14.79,"0.262","no",36,1,2
"5983",9.92,"Not Verified",27.6,"0.853","no",36,3,4
"5984",15.04,"Not Verified",10.52,"0.685","no",36,3,0
"5985",13.58,"Verified",18.26,"0.211","yes",36,3,6
"5986",15.04,"Not Verified",41.94,"0.750","no",36,2,1
"5987",7.35,"Verified",16.58,"0.414","yes",36,1,2
"5988",9.93,"Not Verified",16.2,"0.797","no",36,2,1
"5989",25.82,"Source Verified",23.38,"0.533","yes",36,1,1
"5990",6.07,"Not Verified",19.38,"0.503","no",36,3,0
"5991",14.08,"Source Verified",4.09,"0.413","no",36,1,4
"5992",7.97,"Verified",2.81,"0.000","no",36,1,2
"5993",10.91,"Source Verified",19.29,"0.652","no",60,2,0
"5994",11.99,"Source Verified",23.47,"0.794","no",36,1,3
"5995",6.72,"Verified",34.26,"0.215","no",36,1,5
"5996",10.41,"Not Verified",22.13,"0.347","no",36,3,1
"5997",6.71,"Source Verified",5.11,"0.197","no",36,3,0
"5998",5.31,"Source Verified",15.4,"0.687","no",36,3,7
"5999",10.9,"Source Verified",20.52,"0.172","no",36,3,5
"6000",6.71,"Not Verified",15.35,"0.127","yes",36,3,1
"6001",13.59,"Source Verified",16.14,"0.058","no",36,1,1
"6002",10.91,"Source Verified",18.71,"0.595","no",36,2,6
"6003",13.59,"Source Verified",8.74,"0.530","no",36,2,0
"6004",14.07,"Not Verified",21.1,"0.643","no",36,3,6
"6005",10.42,"Verified",3.44,"0.009","no",36,1,1
"6006",19.42,"Verified",32.17,"0.741","no",36,3,0
"6007",16.01,"Source Verified",21.62,"0.334","no",60,3,0
"6008",9.43,"Verified",20.64,"0.401","no",36,3,4
"6009",14.07,"Source Verified",18.02,"0.523","no",36,3,0
"6010",5.32,"Not Verified",8.24,"0.165","no",36,2,1
"6011",6.72,"Not Verified",16.65,"0.120","no",36,1,4
"6012",12.61,"Verified",26.24,"0.154","no",60,2,3
"6013",17.09,"Source Verified",45.12,"0.320","no",60,1,5
"6014",12.61,"Verified",20.82,"0.697","yes",60,3,3
"6015",14.08,"Source Verified",8.76,"0.719","no",36,2,0
"6016",17.09,"Not Verified",17.7,"0.339","no",60,1,2
"6017",6.72,"Not Verified",20.27,"0.081","no",36,1,3
"6018",9.93,"Source Verified",14.79,"0.308","no",60,1,0
"6019",10.42,"Not Verified",31.3,"0.555","no",36,1,4
"6020",9.44,"Source Verified",16.5,"0.152","no",60,2,0
"6021",5.32,"Source Verified",24.47,"0.330","no",36,2,3
"6022",13.58,"Source Verified",11.03,"0.174","no",36,3,3
